duration_time,team_1_result,team_1_kills,team_1_deaths,team_1_assits,team_2_result,team_2_kills,team_2_deaths,team_2_assits
1630,1,30,19,41,0,19,30,26
1553,1,27,15,39,0,15,27,24
2001,0,32,45,57,1,45,32,74
1036,1,19,12,39,0,12,19,19
1782,0,25,38,43,1,38,25,70
1697,1,44,27,60,0,27,44,49
2195,1,38,33,97,0,33,38,64
2487,1,49,39,83,0,39,49,40
1939,0,25,39,34,1,39,25,61
1137,1,28,5,42,0,5,28,10
2079,1,28,23,46,0,23,28,66
1983,1,43,41,80,0,41,43,70
932,0,4,22,8,1,22,4,23
1430,1,31,8,54,0,8,31,7
1726,0,29,36,37,1,36,29,51
712,0,4,10,4,1,10,4,11
1747,0,18,22,33,1,22,19,31
1840,1,28,13,69,0,13,28,20
1629,1,29,19,51,0,18,29,28
1711,1,32,20,54,0,20,32,33
1613,0,22,25,34,1,25,22,38
1456,0,12,22,12,1,22,12,25
1927,0,40,55,65,1,55,40,70
1925,0,26,35,64,1,35,26,59
1704,0,30,38,49,1,38,30,74
1398,0,11,27,13,1,27,11,41
1969,0,19,37,22,1,37,20,65
1284,1,22,10,41,0,10,22,16
1745,0,22,33,29,1,31,22,65
1582,1,31,15,33,0,15,31,28
2278,1,38,28,75,0,28,38,40
1771,1,35,20,53,0,20,35,29
1211,1,29,7,43,0,7,29,8
1444,1,33,12,36,0,12,33,14
823,0,3,13,3,1,13,3,18
1069,1,14,2,28,0,2,14,2
1353,1,18,6,28,0,6,18,7
1797,0,17,28,21,1,28,17,47
1857,1,31,17,65,0,17,32,28
1958,1,40,37,52,0,37,40,74
2275,1,38,50,88,0,50,38,78
1744,1,27,24,39,0,24,27,36
1622,1,38,21,57,0,21,38,31
1429,0,12,28,16,1,28,12,36
1406,0,10,37,12,1,37,10,51
1754,0,27,34,36,1,34,27,51
1684,1,28,20,62,0,20,28,29
1708,0,20,46,30,1,46,20,44
1328,1,33,10,40,0,10,33,15
618,1,9,0,7,0,0,9,0
1550,0,12,21,17,1,21,12,32
2012,1,37,19,45,0,19,37,25
1677,1,29,22,64,0,22,29,46
1623,1,33,14,35,0,14,33,14
1714,1,46,23,70,0,23,46,45
1378,0,16,29,21,1,29,16,63
1620,1,21,21,40,0,21,21,29
1388,0,15,27,22,1,27,15,42
1389,0,7,20,14,1,20,7,33
2070,1,26,12,36,0,12,27,24
1752,1,28,21,54,0,21,28,30
1290,1,26,11,28,0,10,26,14
1311,0,6,33,6,1,33,6,31
1147,1,25,7,38,0,7,25,10
2077,0,22,35,39,1,35,22,75
1506,1,31,20,35,0,20,31,28
